time,open,high,low,close,tick_volume,spread,real_volume
1615357800,1.18796,1.1881,1.1877,1.18784,405,1,0
1615358700,1.18784,1.18797,1.1878,1.18794,269,1,0
1615359600,1.18795,1.18799,1.18733,1.18751,586,1,0
1615360500,1.18752,1.18775,1.18749,1.18753,404,1,0
1615361400,1.18753,1.18777,1.1875,1.18754,489,1,0
1615362300,1.18754,1.18759,1.18705,1.18751,604,1,0
1615363200,1.1875,1.18765,1.18687,1.18705,619,1,0
1615364100,1.18704,1.1873,1.1869399999999999,1.18728,637,1,0
1615365000,1.18728,1.18777,1.18714,1.18775,688,1,0
1615365900,1.18774,1.18789,1.18746,1.18775,520,1,0
1615366800,1.18775,1.18801,1.18746,1.18771,779,1,0
1615367700,1.18768,1.18828,1.18763,1.18822,625,1,0
1615368600,1.18822,1.18838,1.1877,1.18809,806,1,0
1615369500,1.18808,1.18862,1.18808,1.1884000000000001,927,1,0
1615370400,1.1884000000000001,1.18851,1.18746,1.18777,1433,1,0
1615371300,1.18777,1.18792,1.18719,1.18744,978,1,0
1615372200,1.18743,1.1890100000000001,1.18741,1.18881,1078,1,0
1615373100,1.18883,1.18968,1.18866,1.1896,1069,1,0
1615374000,1.18958,1.19014,1.18945,1.18995,1009,1,0
1615374900,1.18995,1.19,1.18951,1.18975,744,1,0
1615375800,1.18976,1.18988,1.18934,1.18963,722,1,0
1615376700,1.1896200000000001,1.18998,1.18927,1.18997,780,1,0
1615377600,1.18997,1.19046,1.18981,1.18987,793,1,0
1615378500,1.18987,1.1901,1.18956,1.18996,597,1,0
1615379400,1.18998,1.18998,1.18934,1.18944,868,1,0
1615380300,1.18944,1.18963,1.18932,1.18952,920,1,0
1615381200,1.18951,1.18973,1.18916,1.18957,706,1,0
1615382100,1.18956,1.18957,1.18887,1.18904,771,1,0
1615383000,1.18904,1.18936,1.18855,1.18869,866,1,0
1615383900,1.18869,1.1892,1.18852,1.18911,833,1,0
1615384800,1.1891,1.18918,1.1886,1.18898,904,1,0
1615385700,1.18898,1.18963,1.18893,1.1893799999999999,894,1,0
1615386600,1.1893799999999999,1.18964,1.18912,1.18924,902,1,0
1615387500,1.18924,1.1896200000000001,1.18823,1.18853,1376,1,0
1615388400,1.18853,1.18959,1.18819,1.18922,1978,1,0
1615389300,1.18925,1.18958,1.18865,1.18871,1410,1,0
1615390200,1.18871,1.1912,1.18868,1.19011,2919,1,0
1615391100,1.1901,1.19129,1.19003,1.19106,2044,1,0
1615392000,1.19106,1.19228,1.19057,1.19226,2191,1,0
1615392900,1.19226,1.19248,1.1915,1.19235,1591,1,0
1615393800,1.19238,1.19238,1.1915,1.1920600000000001,2251,1,0
1615394700,1.19207,1.1923,1.1911100000000001,1.19132,1980,1,0
1615395600,1.19132,1.19163,1.1902,1.19024,1955,1,0
1615396500,1.19025,1.19062,1.18922,1.1894,1627,1,0
1615397400,1.18936,1.18984,1.18898,1.18934,1771,1,0
1615398300,1.18935,1.18977,1.18861,1.18958,2059,1,0
1615399200,1.18959,1.1897199999999999,1.18882,1.18937,1585,1,0
1615400100,1.18937,1.18961,1.18898,1.1895,1184,1,0
1615401000,1.1895,1.18971,1.18917,1.18942,1256,1,0
1615401900,1.18942,1.18997,1.18934,1.18988,1008,1,0
1615402800,1.18988,1.1902300000000001,1.1897,1.18995,1060,1,0
1615403700,1.18995,1.19042,1.18977,1.19035,820,1,0
1615404600,1.19038,1.19102,1.19038,1.19097,945,1,0
